"id";"tipo";"sector";"territorio";"nombre_canonico";"query_1";"vol_q1";"query_2";"vol_q2";"query_3";"vol_q3";"vol_total";"tengo_landing";"peso_tipo";"score";"notas"
"292";"sectorial-provincial";"oficinas-despachos";"Cádiz";"Convenio Oficinas y Despachos Cádiz";"convenio oficinas y despachos cádiz";"0";"convenio oficinas y despachos cádiz 2026";"0";"tabla salarial oficinas y despachos cádiz";"0";"0";"no";"1";"0";""
"218";"sectorial-provincial";"transporte-mercancias";"Bizkaia";"Convenio Transporte de Mercancías por Carretera Bizkaia";"convenio transporte de mercancías por carretera bizkaia";"0";"convenio transporte de mercancías por carretera bizkaia 2026";"0";"tabla salarial transporte de mercancías por carretera bizkaia";"0";"0";"no";"1";"0";""
"219";"sectorial-provincial";"transporte-mercancias";"Burgos";"Convenio Transporte de Mercancías por Carretera Burgos";"convenio transporte de mercancías por carretera burgos";"0";"convenio transporte de mercancías por carretera burgos 2026";"0";"tabla salarial transporte de mercancías por carretera burgos";"0";"0";"no";"1";"0";""
"309";"sectorial-provincial";"quimica";"Asturias";"Convenio Industria Química Asturias";"convenio industria química asturias";"0";"convenio industria química asturias 2026";"0";"tabla salarial industria química asturias";"0";"0";"no";"1";"0";""
"308";"sectorial-provincial";"quimica";"Zaragoza";"Convenio Industria Química Zaragoza";"convenio industria química zaragoza";"0";"convenio industria química zaragoza 2026";"0";"tabla salarial industria química zaragoza";"0";"0";"no";"1";"0";""
"310";"sectorial-provincial";"quimica";"A Coruña";"Convenio Industria Química A Coruña";"convenio industria química a coruña";"0";"convenio industria química a coruña 2026";"0";"tabla salarial industria química a coruña";"0";"0";"no";"1";"0";""
"312";"sectorial-provincial";"quimica";"Cádiz";"Convenio Industria Química Cádiz";"convenio industria química cádiz";"0";"convenio industria química cádiz 2026";"0";"tabla salarial industria química cádiz";"0";"0";"no";"1";"0";""
"311";"sectorial-provincial";"quimica";"Tarragona";"Convenio Industria Química Tarragona";"convenio industria química tarragona";"0";"convenio industria química tarragona 2026";"0";"tabla salarial industria química tarragona";"0";"0";"no";"1";"0";""
"307";"sectorial-provincial";"quimica";"Sevilla";"Convenio Industria Química Sevilla";"convenio industria química sevilla";"0";"convenio industria química sevilla 2026";"0";"tabla salarial industria química sevilla";"0";"0";"no";"1";"0";""
"303";"sectorial-provincial";"quimica";"Valencia";"Convenio Industria Química Valencia";"convenio industria química valencia";"0";"convenio industria química valencia 2026";"0";"tabla salarial industria química valencia";"0";"0";"no";"1";"0";""
"210";"sectorial-provincial";"transporte-mercancias";"Albacete";"Convenio Transporte de Mercancías por Carretera Albacete";"convenio transporte de mercancías por carretera albacete";"0";"convenio transporte de mercancías por carretera albacete 2026";"0";"tabla salarial transporte de mercancías por carretera albacete";"0";"0";"no";"1";"0";""
"304";"sectorial-provincial";"quimica";"Bizkaia";"Convenio Industria Química Bizkaia";"convenio industria química bizkaia";"0";"convenio industria química bizkaia 2026";"0";"tabla salarial industria química bizkaia";"0";"0";"no";"1";"0";""
"306";"sectorial-provincial";"quimica";"Álava";"Convenio Industria Química Álava";"convenio industria química álava";"0";"convenio industria química álava 2026";"0";"tabla salarial industria química álava";"0";"0";"no";"1";"0";""
"305";"sectorial-provincial";"quimica";"Gipuzkoa";"Convenio Industria Química Gipuzkoa";"convenio industria química gipuzkoa";"0";"convenio industria química gipuzkoa 2026";"0";"tabla salarial industria química gipuzkoa";"0";"0";"no";"1";"0";""
